cust_id,lookalikes
C0085,"[('C0012', 0.9999976845720165), ('C0039', 0.99999869546953), ('C0195', 0.999999952668551)]"
C0086,"[('C0179', 0.9999999992343307), ('C0073', 0.99999999928061), ('C0135', 0.9999999994178282)]"
C0087,"[('C0129', 0.9999999993413204), ('C0137', 0.999999999717227), ('C0087', 1.0)]"
C0088,"[('C0200', 0.9999999971283597), ('C0021', 0.9999999977632101), ('C0128', 0.9999999992107909)]"
C0089,"[('C0063', 0.9999998548482834), ('C0081', 0.9999999279859241), ('C0127', 0.999999999742958)]"
C0090,"[('C0022', 0.9999999988927023), ('C0180', 0.999999999297505), ('C0186', 0.9999999996279401)]"
C0091,"[('C0095', 0.9999999996767266), ('C0155', 0.999999999883708), ('C0133', 0.9999999999427248)]"
C0092,"[('C0028', 0.9999998124126998), ('C0177', 0.9999999986322416), ('C0143', 0.9999999994168658)]"
C0093,"[('C0092', 0.9999995462359135), ('C0177', 0.9999995946934293), ('C0028', 0.9999999421565479)]"
C0094,"[('C0185', 0.9999999910421243), ('C0156', 0.9999999942422693), ('C0034', 0.9999999989630294)]"
C0095,"[('C0155', 0.9999999991726506), ('C0091', 0.9999999996767266), ('C0133', 0.9999999998915949)]"
C0096,"[('C0168', 0.9999999991829038), ('C0011', 0.9999999992489063), ('C0174', 0.9999999997340445)]"
C0097,"[('C0022', 0.9999999601636504), ('C0123', 0.9999999716518768), ('C0178', 0.9999999862588683)]"
C0098,"[('C0035', 0.9999983875267974), ('C0154', 0.9999997589293506), ('C0046', 0.9999999754452478)]"
C0099,"[('C0095', 0.9999999977228543), ('C0120', 0.9999999995613057), ('C0107', 0.9999999998513599)]"
C0100,"[('C0141', 0.9999999990351977), ('C0061', 0.9999999997742031), ('C0197', 0.9999999999410178)]"
C0101,"[('C0180', 0.9999999936141182), ('C0090', 0.9999999971476823), ('C0186', 0.9999999988359455)]"
C0102,"[('C0108', 0.9999999998658844), ('C0150', 0.9999999999919059), ('C0192', 0.9999999999990964)]"
C0103,"[('C0196', 0.9999999997066282), ('C0060', 0.999999999732768), ('C0074', 0.9999999999219344)]"
C0104,"[('C0083', 0.9999999987179709), ('C0153', 0.9999999994298966), ('C0118', 0.9999999998718748)]"
C0105,"[('C0114', 0.9999990584252061), ('C0066', 0.9999997179750836), ('C0111', 0.9999999333034956)]"
C0106,"[('C0159', 0.9999999981514057), ('C0005', 0.9999999987671407), ('C0173', 0.9999999998113515)]"
C0107,"[('C0095', 0.9999999987377862), ('C0120', 0.9999999989019506), ('C0099', 0.9999999998513599)]"
C0108,"[('C0192', 0.9999999998429651), ('C0102', 0.9999999998658844), ('C0004', 0.9999999998810423)]"
C0109,"[('C0029', 0.9999999997391028), ('C0038', 0.9999999997391028), ('C0122', 0.9999999999953811)]"
C0110,"[('C0146', 0.9999995549526837), ('C0054', 0.9999998552607355), ('C0084', 0.9999999701867621)]"
C0111,"[('C0114', 0.9999994929261937), ('C0066', 0.9999999255782357), ('C0105', 0.9999999333034956)]"
C0112,"[('C0071', 0.9999999999765481), ('C0001', 0.999999999994023), ('C0025', 0.9999999999940994)]"
C0113,"[('C0112', 0.9999999997470237), ('C0025', 0.9999999998183944), ('C0071', 0.9999999998776207)]"
C0114,"[('C0105', 0.9999990584252061), ('C0111', 0.9999994929261937), ('C0066', 0.9999998070263652)]"
C0115,"[('C0054', 0.9999881991158645), ('C0138', 0.9999987700921135), ('C0078', 0.9999999333034956)]"
C0116,"[('C0144', 0.9999992871919162), ('C0018', 0.9999998297448335), ('C0049', 0.9999999204098566)]"
C0117,"[('C0046', 0.9999875707651577), ('C0154', 0.9999898160955583), ('C0055', 0.9999973752360485)]"
C0118,"[('C0083', 0.9999999977792663), ('C0153', 0.999999998761237), ('C0104', 0.9999999998718748)]"
C0119,"[('C0017', 0.9999999927787986), ('C0069', 0.9999999940889017), ('C0064', 0.9999999940914601)]"
C0120,"[('C0171', 0.9999999988054671), ('C0107', 0.9999999989019506), ('C0099', 0.9999999995613057)]"
C0121,"[('C0170', 0.9999999822517568), ('C0164', 0.9999999878375224), ('C0009', 0.9999999971726309)]"
C0122,"[('C0029', 0.9999999998039121), ('C0038', 0.9999999998039121), ('C0109', 0.9999999999953811)]"
C0123,"[('C0178', 0.9999999973840422), ('C0180', 0.9999999985565388), ('C0022', 0.9999999990252214)]"
C0124,"[('C0044', 0.9999987929010002), ('C0057', 0.999999412035938), ('C0172', 0.9999997772902788)]"
C0125,"[('C0131', 0.9999999651202272), ('C0068', 0.9999999779114515), ('C0042', 0.999999986241046)]"
C0126,"[('C0003', 0.9999999894523861), ('C0076', 0.9999999971236679), ('C0126', 1.0)]"
C0127,"[('C0063', 0.9999998423748435), ('C0081', 0.9999999191240819), ('C0089', 0.999999999742958)]"
C0128,"[('C0140', 0.9999999955146717), ('C0088', 0.9999999992107909), ('C0200', 0.9999999993500139)]"
C0129,"[('C0032', 0.9999999993130948), ('C0087', 0.9999999993413204), ('C0031', 0.9999999993413204)]"
C0130,"[('C0158', 0.9999999998631641), ('C0169', 0.9999999998991593), ('C0148', 0.9999999999745566)]"
C0131,"[('C0029', 0.999999998697066), ('C0122', 0.9999999995118978), ('C0109', 0.9999999996022423)]"
C0132,"[('C0019', 0.9999999993107045), ('C0149', 0.9999999997863505), ('C0037', 0.9999999999834857)]"
C0133,"[('C0155', 0.9999999996632074), ('C0095', 0.9999999998915949), ('C0091', 0.9999999999427248)]"
C0134,"[('C0040', 0.9999999998997404), ('C0045', 0.9999999999861646), ('C0002', 0.999999999986471)]"
C0135,"[('C0179', 0.9999999973168667), ('C0086', 0.9999999994178282), ('C0073', 0.9999999999927466)]"
C0136,"[('C0080', 0.9999999482513201), ('C0056', 0.9999999495509545), ('C0142', 0.9999999508080062)]"
C0137,"[('C0087', 0.999999999717227), ('C0031', 0.999999999717227), ('C0191', 0.9999999997248948)]"
C0138,"[('C0054', 0.9999945886465914), ('C0078', 0.999998130576335), ('C0115', 0.9999987700921135)]"
C0139,"[('C0038', 0.9999999995187814), ('C0160', 0.9999999997906864), ('C0176', 0.9999999999658413)]"
C0140,"[('C0088', 0.9999999909625588), ('C0128', 0.9999999955146717), ('C0200', 0.9999999982795947)]"
C0141,"[('C0132', 0.9999999990631667), ('C0037', 0.9999999992954194), ('C0061', 0.9999999997428874)]"
C0142,"[('C0097', 0.9999999331467563), ('C0136', 0.9999999508080062), ('C0080', 0.9999999999676161)]"
C0143,"[('C0056', 0.9999997932788257), ('C0177', 0.9999999962629532), ('C0092', 0.9999999994168658)]"
C0144,"[('C0049', 0.9999996839734289), ('C0018', 0.999999813669834), ('C0035', 0.9999999972859471)]"
C0145,"[('C0027', 0.9999999941386869), ('C0043', 0.9999999990757672), ('C0193', 0.9999999992337774)]"
C0146,"[('C0054', 0.9999989026081165), ('C0110', 0.9999995549526837), ('C0084', 0.9999997555156593)]"
C0147,"[('C0184', 0.9999999999952486), ('C0082', 0.9999999999952486), ('C0188', 0.9999999999994679)]"
C0148,"[('C0158', 0.9999999999557304), ('C0130', 0.9999999999745566), ('C0169', 0.999999999975022)]"
C0149,"[('C0037', 0.9999999996510371), ('C0132', 0.9999999997863505), ('C0019', 0.9999999998645643)]"
C0150,"[('C0108', 0.9999999997918956), ('C0102', 0.9999999999919059), ('C0192', 0.999999999996411)]"
C0151,"[('C0085', 0.9999709382206454), ('C0039', 0.9999819481750595), ('C0048', 0.9999956009008611)]"
C0152,"[('C0184', 0.9999999997119177), ('C0083', 0.9999999999329544), ('C0165', 0.9999999999532582)]"
C0153,"[('C0152', 0.9999999995953167), ('C0165', 0.9999999998236432), ('C0083', 0.9999999998577084)]"
C0154,"[('C0055', 0.9999975316047703), ('C0098', 0.9999997589293506), ('C0046', 0.9999998882502594)]"
C0155,"[('C0095', 0.9999999991726506), ('C0133', 0.9999999996632074), ('C0091', 0.999999999883708)]"
C0156,"[('C0034', 0.9999999883183375), ('C0067', 0.9999999891525089), ('C0094', 0.9999999942422693)]"
C0157,"[('C0024', 0.9999999989040402), ('C0058', 0.9999999998835348), ('C0157', 1.0)]"
C0158,"[('C0130', 0.9999999998631641), ('C0148', 0.9999999999557304), ('C0169', 0.9999999999972585)]"
C0159,"[('C0106', 0.9999999981514057), ('C0007', 0.9999999983755298), ('C0005', 0.9999999999378554)]"
C0160,"[('C0176', 0.9999999999256416), ('C0038', 0.9999999999442137), ('C0029', 0.9999999999442137)]"
C0161,"[('C0045', 0.9999999998840035), ('C0162', 0.9999999999040093), ('C0040', 0.999999999979958)]"
C0162,"[('C0040', 0.9999999997962445), ('C0175', 0.9999999998526393), ('C0161', 0.9999999999040093)]"
C0163,"[('C0169', 0.9999999896826349), ('C0148', 0.999999990672954), ('C0130', 0.9999999916218036)]"
C0164,"[('C0197', 0.9999999844523201), ('C0121', 0.9999999878375224), ('C0075', 0.9999999967335966)]"
C0165,"[('C0153', 0.9999999998236432), ('C0152', 0.9999999999532582), ('C0083', 0.9999999999981739)]"
C0166,"[('C0070', 0.9999999996460947), ('C0023', 0.999999999860981), ('C0198', 0.9999999999252299)]"
C0167,"[('C0081', 0.9999999737941878), ('C0041', 0.9999999767570965), ('C0063', 0.9999999975745695)]"
C0168,"[('C0096', 0.9999999991829038), ('C0171', 0.9999999999873638), ('C0011', 0.9999999999986104)]"
C0169,"[('C0130', 0.9999999998991593), ('C0148', 0.999999999975022), ('C0158', 0.9999999999972585)]"
C0170,"[('C0121', 0.9999999822517568), ('C0064', 0.999999985686245), ('C0009', 0.9999999935920741)]"
C0171,"[('C0096', 0.9999999989670427), ('C0011', 0.9999999999775934), ('C0168', 0.9999999999873638)]"
C0172,"[('C0044', 0.9999975332103724), ('C0057', 0.9999984655991636), ('C0124', 0.9999997772902788)]"
C0173,"[('C0005', 0.9999999976139677), ('C0027', 0.9999999987512379), ('C0106', 0.9999999998113515)]"
C0174,"[('C0108', 0.9999999986464102), ('C0004', 0.9999999993299981), ('C0096', 0.9999999997340445)]"
C0175,"[('C0040', 0.9999999993023265), ('C0161', 0.9999999995187814), ('C0162', 0.9999999998526393)]"
C0176,"[('C0029', 0.9999999997410426), ('C0160', 0.9999999999256416), ('C0139', 0.9999999999658413)]"
C0177,"[('C0028', 0.9999998430808009), ('C0143', 0.9999999962629532), ('C0092', 0.9999999986322416)]"
C0178,"[('C0180', 0.999999992054177), ('C0022', 0.9999999932155322), ('C0123', 0.9999999973840422)]"
C0179,"[('C0199', 0.9999999972924757), ('C0135', 0.9999999973168667), ('C0086', 0.9999999992343307)]"
C0180,"[('C0123', 0.9999999985565388), ('C0090', 0.999999999297505), ('C0022', 0.9999999999541473)]"
C0181,"[('C0076', 0.9999998365522815), ('C0006', 0.9999999517679141), ('C0077', 0.9999999897698306)]"
C0182,"[('C0111', 0.9997579802972473), ('C0066', 0.9997663933791122), ('C0114', 0.9997796279818156)]"
C0183,"[('C0157', 0.9999999986118081), ('C0058', 0.9999999992995218), ('C0189', 0.9999999999728848)]"
C0184,"[('C0188', 0.9999999999915359), ('C0147', 0.9999999999952486), ('C0184', 1.0)]"
C0185,"[('C0015', 0.9999999857378765), ('C0094', 0.9999999910421243), ('C0034', 0.9999999961007436)]"
C0186,"[('C0180', 0.999999997902958), ('C0101', 0.9999999988359455), ('C0090', 0.9999999996279401)]"
C0187,"[('C0013', 0.9999985588832967), ('C0190', 0.9999988784759627), ('C0012', 0.9999999862004926)]"
C0188,"[('C0184', 0.9999999999915359), ('C0082', 0.9999999999915359), ('C0147', 0.9999999999994679)]"
C0189,"[('C0157', 0.9999999981966655), ('C0058', 0.9999999989967711), ('C0183', 0.9999999999728848)]"
C0190,"[('C0129', 0.9999997636122371), ('C0032', 0.9999997884106985), ('C0013', 0.9999999799933322)]"
C0191,"[('C0087', 0.9999999988842964), ('C0031', 0.9999999988842964), ('C0137', 0.9999999997248948)]"
C0192,"[('C0108', 0.9999999998429651), ('C0150', 0.999999999996411), ('C0102', 0.9999999999990964)]"
C0193,"[('C0027', 0.9999999891340351), ('C0145', 0.9999999992337774), ('C0043', 0.999999999992599)]"
C0194,"[('C0047', 0.9999998631590669), ('C0059', 0.9999999399949454), ('C0026', 0.9999999999008776)]"
C0195,"[('C0039', 0.9999981511662083), ('C0012', 0.9999982993356322), ('C0085', 0.999999952668551)]"
C0196,"[('C0103', 0.9999999997066282), ('C0053', 0.9999999999280174), ('C0074', 0.9999999999312325)]"
C0197,"[('C0141', 0.9999999984991156), ('C0061', 0.9999999994844139), ('C0100', 0.9999999999410178)]"
C0198,"[('C0070', 0.9999999998966644), ('C0166', 0.9999999999252299), ('C0023', 0.9999999999901173)]"
C0199,"[('C0019', 0.9999999976486866), ('C0010', 0.9999999998034539), ('C0062', 0.9999999998352737)]"
C0200,"[('C0088', 0.9999999971283597), ('C0140', 0.9999999982795947), ('C0128', 0.9999999993500139)]"
